p5_14,estrato
14,3
2,3
5,3
14,3
14,3
2,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
2,3
14,3
14,3
14,3
2,3
5,3
14,3
2,3
14,3
14,3
14,3
2,3
5,3
14,3
2,3
14,3
14,3
2,3
2,3
5,3
14,3
14,3
2,3
2,3
5,3
14,3
14,3
14,3
14,3
14,3
14,3
7,3
14,3
7,3
7,3
7,3
7,3
14,3
14,3
5,3
14,3
2,3
14,3
2,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
2,3
5,3
14,3
14,3
2,3
5,3
14,3
14,3
5,3
14,3
14,3
5,3
14,3
14,3
7,3
7,3
4,3
3,3
14,3
5,3
14,3
5,3
14,3
14,3
14,3
5,3
14,3
14,3
4,3
14,3
14,3
14,3
14,3
14,3
14,3
14,2
14,2
14,2
14,2
5,2
12,2
14,2
5,2
12,2
14,2
5,2
14,2
5,2
14,2
6,2
14,2
6,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
2,2
5,2
14,2
2,2
5,2
14,2
5,2
14,2
11,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
4,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
2,2
5,2
14,2
14,2
2,2
5,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
2,2
14,2
2,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
14,2
5,2
14,2
5,2
14,2
14,2
14,2
14,2
14,2
2,2
14,2
5,2
14,2
5,2
14,2
5,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
5,2
14,2
5,2
14,2
2,2
14,2
2,2
14,2
5,2
14,2
5,2
14,2
14,2
14,2
14,2
14,2
5,2
14,2
5,2
14,2
4,2
14,2
5,2
14,2
5,2
14,2
